block_id,method,rate_bpd,mse,sqnr_bits,quantize_seconds,dequantize_seconds,original_vector,dequantized_vector
0,Leech Lattice Vector Quantization (gpu),2.0,0.0653282474478219,1.968074642914867,0.001270506007131189,0.00015834700025152415,"[0.6458169221878052,-0.8297996520996094,1.5018998384475708,-1.4117858409881592,-1.5920138359069824,0.3304179608821869,-0.8297996520996094,-0.9912539124488831,-0.2515682280063629,0.12766148149967194,0.5106459259986877,2.4180586338043213,0.2065112292766571,0.9912539124488831,-1.4643523693084717,0.4674663245677948,1.4042763710021973,0.4993816912174225,0.9574611186981201,-0.6307979226112366,-0.9687253832817078,0.07321761548519135,-0.40926769375801086,0.3285405933856964]","[0.3535533845424652,-0.3535533845424652,1.7677669525146484,-1.7677669525146484,-1.0606601238250732,0.3535533845424652,-1.0606601238250732,-1.0606601238250732,-0.3535533845424652,0.3535533845424652,0.3535533845424652,2.4748737812042236,0.3535533845424652,1.0606601238250732,-1.0606601238250732,0.3535533845424652,1.0606601238250732,0.3535533845424652,1.0606601238250732,-1.0606601238250732,-1.0606601238250732,0.3535533845424652,-0.3535533845424652,0.3535533845424652]"
0,QTIP bitshift (gpu),2.0,0.1680196667173861,1.286649008869327,0.008163092992617749,8.750399865675718e-05,"[0.6458169221878052,-0.8297996520996094,1.5018998384475708,-1.4117858409881592,-1.5920138359069824,0.3304179608821869,-0.8297996520996094,-0.9912539124488831,-0.2515682280063629,0.12766148149967194,0.5106459259986877,2.4180586338043213,0.2065112292766571,0.9912539124488831,-1.4643523693084717,0.4674663245677948,1.4042763710021973,0.4993816912174225,0.9574611186981201,-0.6307979226112366,-0.9687253832817078,0.07321761548519135,-0.40926769375801086,0.3285405933856964]","[0.66835618019104,-0.8099502921104431,0.4722914695739746,-1.3297709226608276,-1.6962224245071411,0.527773916721344,-1.159889578819275,-0.9391450881958008,-0.13257279992103577,-0.07350250333547592,0.1523558795452118,1.9533236026763916,1.2617708444595337,0.33413028717041016,-1.8356715440750122,0.0931539535522461,1.122338056564331,0.06368788331747055,0.879913330078125,-0.3445020616054535,-0.9391450881958008,-0.13257279992103577,-0.1029927134513855,0.034277018159627914]"
0,Uniform scalar 2-bit (gpu),2.0,0.18833709582976443,1.2043054698694824,9.322499681729823e-05,4.4774002162739635e-05,"[0.6458169221878052,-0.8297996520996094,1.5018998384475708,-1.4117858409881592,-1.5920138359069824,0.3304179608821869,-0.8297996520996094,-0.9912539124488831,-0.2515682280063629,0.12766148149967194,0.5106459259986877,2.4180586338043213,0.2065112292766571,0.9912539124488831,-1.4643523693084717,0.4674663245677948,1.4042763710021973,0.4993816912174225,0.9574611186981201,-0.6307979226112366,-0.9687253832817078,0.07321761548519135,-0.40926769375801086,0.3285405933856964]","[1.0,-1.0,1.0,-1.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0]"
1,Uniform scalar 2-bit (gpu),2.0,0.26721572014503553,0.9519616032040527,7.629398896824569e-05,4.30410000262782e-05,"[-0.2977310121059418,-0.08588394522666931,0.2257520854473114,-0.014007262885570526,0.2012138068675995,-0.9488130807876587,-0.243746817111969,-0.5954620242118835,0.5660160779953003,0.33535635471343994,1.2759900093078613,0.4515041708946228,0.03619394823908806,2.5781543254852295,-0.5431137084960938,-0.3468075394630432,2.4603705406188965,0.23065973818302155,0.883377730846405,-0.1128760427236557,0.8113988041877747,0.5529290437698364,-1.8583649396896362,1.3610560894012451]","[0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-2.0,1.0]"
1,Leech Lattice Vector Quantization (gpu),2.0,0.06326271034126223,1.9912504092372922,0.0015204969968181103,0.00015811699267942458,"[-0.2977310121059418,-0.08588394522666931,0.2257520854473114,-0.014007262885570526,0.2012138068675995,-0.9488130807876587,-0.243746817111969,-0.5954620242118835,0.5660160779953003,0.33535635471343994,1.2759900093078613,0.4515041708946228,0.03619394823908806,2.5781543254852295,-0.5431137084960938,-0.3468075394630432,2.4603705406188965,0.23065973818302155,0.883377730846405,-0.1128760427236557,0.8113988041877747,0.5529290437698364,-1.8583649396896362,1.3610560894012451]","[-0.3535533845424652,-0.3535533845424652,0.3535533845424652,-0.3535533845424652,0.3535533845424652,-1.0606601238250732,0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,1.0606601238250732,0.3535533845424652,0.3535533845424652,2.4748737812042236,-0.3535533845424652,-0.3535533845424652,2.4748737812042236,0.3535533845424652,1.0606601238250732,0.3535533845424652,0.3535533845424652,0.3535533845424652,-1.7677669525146484,1.0606601238250732]"
1,QTIP bitshift (gpu),2.0,0.25978033614871493,0.9723179291393033,0.00814906699815765,9.529899398330599e-05,"[-0.2977310121059418,-0.08588394522666931,0.2257520854473114,-0.014007262885570526,0.2012138068675995,-0.9488130807876587,-0.243746817111969,-0.5954620242118835,0.5660160779953003,0.33535635471343994,1.2759900093078613,0.4515041708946228,0.03619394823908806,2.5781543254852295,-0.5431137084960938,-0.3468075394630432,2.4603705406188965,0.23065973818302155,0.883377730846405,-0.1128760427236557,0.8113988041877747,0.5529290437698364,-1.8583649396896362,1.3610560894012451]","[-0.14245736598968506,-0.13257279992103577,-0.1029927134513855,0.024481236934661865,0.5849315524101257,-0.9858254790306091,-0.2929880917072296,-0.7308942079544067,1.122338056564331,0.07350250333547592,1.0181772708892822,-0.07350250333547592,0.12270114570856094,1.5184290409088135,0.6930450797080994,-0.7308942079544067,1.122338056564331,0.0931539535522461,1.159889578819275,0.1029927134513855,1.3064303398132324,0.3863752782344818,-1.6189000606536865,0.9858254790306091]"
2,Leech Lattice Vector Quantization (gpu),2.0,0.06434863455151144,1.9789732907967055,0.0010191239998675883,0.00014706699585076421,"[0.23876868188381195,-0.9217581748962402,1.3382151126861572,1.9323605298995972,0.538617730140686,-0.35537663102149963,-1.8657273054122925,-1.4548231363296509,-0.9661802649497986,0.33316558599472046,0.6802130937576294,0.6413437724113464,1.4770342111587524,1.2771347761154175,0.5580523610115051,1.1827378273010254,0.8495723009109497,-0.6108036041259766,-0.5053011775016785,0.5636051297187805,0.8606777787208557,1.077235460281372,0.7329643368721008,0.082944355905056]","[0.0,-1.4142135381698608,1.4142135381698608,2.1213202476501465,0.7071067690849304,0.0,-1.4142135381698608,-1.4142135381698608,-0.7071067690849304,0.7071067690849304,0.7071067690849304,0.7071067690849304,1.4142135381698608,1.4142135381698608,0.7071067690849304,1.4142135381698608,0.7071067690849304,-0.7071067690849304,-0.7071067690849304,0.0,0.7071067690849304,1.4142135381698608,0.7071067690849304,0.0]"
2,QTIP bitshift (gpu),2.0,0.19471710958805497,1.180274182211586,0.00810941199597437,8.625199552625418e-05,"[0.23876868188381195,-0.9217581748962402,1.3382151126861572,1.9323605298995972,0.538617730140686,-0.35537663102149963,-1.8657273054122925,-1.4548231363296509,-0.9661802649497986,0.33316558599472046,0.6802130937576294,0.6413437724113464,1.4770342111587524,1.2771347761154175,0.5580523610115051,1.1827378273010254,0.8495723009109497,-0.6108036041259766,-0.5053011775016785,0.5636051297187805,0.8606777787208557,1.077235460281372,0.7329643368721008,0.082944355905056]","[0.7181638479232788,-0.6806488037109375,2.335232973098755,1.6563239097595215,0.8514286875724792,-0.40756407380104065,-1.1991522312164307,-1.1409127712249756,-0.8944265246391296,0.0931539535522461,1.159889578819275,0.13257279992103577,1.8356715440750122,1.159889578819275,0.12270114570856094,1.4591230154037476,0.6083298325538635,-0.9240337014198303,-0.0931539535522461,0.0931539535522461,1.122338056564331,0.0931539535522461,1.0863057374954224,0.034277018159627914]"
2,Uniform scalar 2-bit (gpu),2.0,0.13332616711464473,1.4534840324832412,7.74549989728257e-05,4.355200508143753e-05,"[0.23876868188381195,-0.9217581748962402,1.3382151126861572,1.9323605298995972,0.538617730140686,-0.35537663102149963,-1.8657273054122925,-1.4548231363296509,-0.9661802649497986,0.33316558599472046,0.6802130937576294,0.6413437724113464,1.4770342111587524,1.2771347761154175,0.5580523610115051,1.1827378273010254,0.8495723009109497,-0.6108036041259766,-0.5053011775016785,0.5636051297187805,0.8606777787208557,1.077235460281372,0.7329643368721008,0.082944355905056]","[0.0,-1.0,1.0,1.0,1.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0]"
3,Uniform scalar 2-bit (gpu),2.0,0.23182303077840002,1.0544521287409097,8.517000242136419e-05,4.299099964555353e-05,"[-0.13189645111560822,0.602955162525177,-0.39568933844566345,1.2264657020568848,1.7060891389846802,0.8598963022232056,0.9660986661911011,-0.08093645423650742,-0.28263524174690247,-0.9455433487892151,-1.1236891746520996,2.891444206237793,0.02505175955593586,0.9935057163238525,1.301835060119629,0.9866539239883423,0.2655058205127716,-0.2723575830459595,-1.1099857091903687,-0.35629168152809143,0.4796234369277954,-0.5858257412910461,-0.44193872809410095,-0.9181362986564636]","[0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0]"
