block_id,method,rate_bpd,mse,sqnr_bits,quantize_seconds,dequantize_seconds,original_vector,dequantized_vector
0,Leech Lattice Vector Quantization (gpu),2.0,0.14787975767747177,-3.564180627532372,0.0006441900040954351,0.00015576199803035706,"[0.02099609375,-0.0269775390625,0.048828125,-0.0458984375,-0.0517578125,0.0107421875,-0.0269775390625,-0.0322265625,-0.0081787109375,0.004150390625,0.0166015625,0.07861328125,0.0067138671875,0.0322265625,-0.047607421875,0.01519775390625,0.045654296875,0.0162353515625,0.0311279296875,-0.0205078125,-0.031494140625,0.00238037109375,-0.0133056640625,0.01068115234375]","[0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-1.0606601238250732,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,0.3535533845424652]"
0,QTIP bitshift (gpu),2.0,0.02176914034124877,-2.182146506266202,0.00800243100093212,8.63619934534654e-05,"[0.02099609375,-0.0269775390625,0.048828125,-0.0458984375,-0.0517578125,0.0107421875,-0.0269775390625,-0.0322265625,-0.0081787109375,0.004150390625,0.0166015625,0.07861328125,0.0067138671875,0.0322265625,-0.047607421875,0.01519775390625,0.045654296875,0.0162353515625,0.0311279296875,-0.0205078125,-0.031494140625,0.00238037109375,-0.0133056640625,0.01068115234375]","[-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506]"
0,Uniform scalar 2-bit (gpu),2.0,0.0010569590764741104,0.0,9.046899504028261e-05,4.569599695969373e-05,"[0.02099609375,-0.0269775390625,0.048828125,-0.0458984375,-0.0517578125,0.0107421875,-0.0269775390625,-0.0322265625,-0.0081787109375,0.004150390625,0.0166015625,0.07861328125,0.0067138671875,0.0322265625,-0.047607421875,0.01519775390625,0.045654296875,0.0162353515625,0.0311279296875,-0.0205078125,-0.031494140625,0.00238037109375,-0.0133056640625,0.01068115234375]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1,Uniform scalar 2-bit (gpu),2.0,0.0013920497276558308,0.0,7.588200969621539e-05,4.2239989852532744e-05,"[-0.0111083984375,-0.003204345703125,0.0084228515625,-0.000522613525390625,0.00750732421875,-0.035400390625,-0.00909423828125,-0.022216796875,0.0211181640625,0.01251220703125,0.047607421875,0.016845703125,0.00135040283203125,0.09619140625,-0.020263671875,-0.012939453125,0.091796875,0.00860595703125,0.032958984375,-0.00421142578125,0.0302734375,0.0206298828125,-0.0693359375,0.05078125]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1,Leech Lattice Vector Quantization (gpu),2.0,0.14185438574066822,-3.3355280981121056,0.0005145460017956793,0.00014999198901932687,"[-0.0111083984375,-0.003204345703125,0.0084228515625,-0.000522613525390625,0.00750732421875,-0.035400390625,-0.00909423828125,-0.022216796875,0.0211181640625,0.01251220703125,0.047607421875,0.016845703125,0.00135040283203125,0.09619140625,-0.020263671875,-0.012939453125,0.091796875,0.00860595703125,0.032958984375,-0.00421142578125,0.0302734375,0.0206298828125,-0.0693359375,0.05078125]","[0.0,0.0,0.0,0.0,0.0,-0.7071067690849304,0.0,0.0,0.0,0.0,0.7071067690849304,0.0,0.0,0.7071067690849304,0.0,0.0,0.7071067690849304,0.0,0.7071067690849304,0.0,0.0,0.7071067690849304,-0.7071067690849304,0.7071067690849304]"
1,QTIP bitshift (gpu),2.0,0.02475260021584802,-2.076148715798469,0.008014845006982796,8.648299262858927e-05,"[-0.0111083984375,-0.003204345703125,0.0084228515625,-0.000522613525390625,0.00750732421875,-0.035400390625,-0.00909423828125,-0.022216796875,0.0211181640625,0.01251220703125,0.047607421875,0.016845703125,0.00135040283203125,0.09619140625,-0.020263671875,-0.012939453125,0.091796875,0.00860595703125,0.032958984375,-0.00421142578125,0.0302734375,0.0206298828125,-0.0693359375,0.05078125]","[-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506]"
2,Leech Lattice Vector Quantization (gpu),2.0,0.15323114248547573,-4.154311514546731,0.0007503289962187409,0.00014478099183179438,"[0.0052490234375,-0.020263671875,0.0294189453125,0.04248046875,0.0118408203125,-0.0078125,-0.041015625,-0.031982421875,-0.021240234375,0.00732421875,0.01495361328125,0.01409912109375,0.032470703125,0.028076171875,0.01226806640625,0.0260009765625,0.0186767578125,-0.013427734375,-0.0111083984375,0.01239013671875,0.0189208984375,0.023681640625,0.01611328125,0.00182342529296875]","[0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-1.0606601238250732,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652]"
2,QTIP bitshift (gpu),2.0,0.022782919757119657,-2.779469022019017,0.007990188998519443,8.631200762465596e-05,"[0.0052490234375,-0.020263671875,0.0294189453125,0.04248046875,0.0118408203125,-0.0078125,-0.041015625,-0.031982421875,-0.021240234375,0.00732421875,0.01495361328125,0.01409912109375,0.032470703125,0.028076171875,0.01226806640625,0.0260009765625,0.0186767578125,-0.013427734375,-0.0111083984375,0.01239013671875,0.0189208984375,0.023681640625,0.01611328125,0.00182342529296875]","[-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506]"
2,Uniform scalar 2-bit (gpu),2.0,0.0004832838531001471,0.0,7.801700849086046e-05,4.309098585508764e-05,"[0.0052490234375,-0.020263671875,0.0294189453125,0.04248046875,0.0118408203125,-0.0078125,-0.041015625,-0.031982421875,-0.021240234375,0.00732421875,0.01495361328125,0.01409912109375,0.032470703125,0.028076171875,0.01226806640625,0.0260009765625,0.0186767578125,-0.013427734375,-0.0111083984375,0.01239013671875,0.0189208984375,0.023681640625,0.01611328125,0.00182342529296875]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
3,Uniform scalar 2-bit (gpu),2.0,0.0012696247940766625,0.0,7.51309999031946e-05,4.2369996663182974e-05,"[-0.00469970703125,0.021484375,-0.01409912109375,0.043701171875,0.060791015625,0.0306396484375,0.034423828125,-0.0028839111328125,-0.01007080078125,-0.03369140625,-0.0400390625,0.10302734375,0.00089263916015625,0.035400390625,0.04638671875,0.03515625,0.00946044921875,-0.00970458984375,-0.03955078125,-0.0126953125,0.01708984375,-0.0208740234375,-0.0157470703125,-0.03271484375]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
