run_id,phase,block_id,sample_id,weight_tensor,weight_layer,weight_block_index,weight_flat_start,weight_raw_rms,weight_normalization,method,mse,sqnr_bits,quantize_seconds,dequantize_seconds,original_vector,dequantized_vector,batch_n,dim,seed
seed0_llm_weight_blocks,final,0,0,model.layers.11.mlp.down_proj.weight,11,69868,1676832,0.027878510945298685,block_rms,Uniform scalar 2-bit (gpu),0.1506536451168382,1.365346217900379,9.679101640358567e-05,7.130400626920164e-05,"[0.6436619162559509,0.6567978858947754,1.5325284004211426,-0.3962680399417877,0.7180989980697632,0.5363849401473999,2.0754811763763428,0.9939541220664978,-0.17843008041381836,0.2550565004348755,0.1631048023700714,1.550042986869812,-0.009851967915892601,-0.7312349677085876,-1.5150136947631836,1.1559642553329468,0.12807558476924896,1.208508014678955,1.1296923160552979,1.4099260568618774,-1.4887418746948242,-0.7487495541572571,0.011767628602683544,0.5823607444763184]","[1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-2.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0]",1,24,0
seed0_llm_weight_blocks,final,0,0,model.layers.11.mlp.down_proj.weight,11,69868,1676832,0.027878510945298685,block_rms,QTIP bitshift (gpu),0.17071221637214176,1.2751808563007643,0.008214350003981963,8.723398786969483e-05,"[0.6436619162559509,0.6567978858947754,1.5325284004211426,-0.3962680399417877,0.7180989980697632,0.5363849401473999,2.0754811763763428,0.9939541220664978,-0.17843008041381836,0.2550565004348755,0.1631048023700714,1.550042986869812,-0.009851967915892601,-0.7312349677085876,-1.5150136947631836,1.1559642553329468,0.12807558476924896,1.208508014678955,1.1296923160552979,1.4099260568618774,-1.4887418746948242,-0.7487495541572571,0.011767628602683544,0.5823607444763184]","[1.122338056564331,0.0931539535522461,1.122338056564331,0.0931539535522461,1.159889578819275,0.13257279992103577,1.7390198707580566,0.9858254790306091,-0.13257279992103577,-0.0931539535522461,0.07350250333547592,0.9391450881958008,-0.23216964304447174,-0.49430081248283386,-1.6189000606536865,1.159889578819275,0.1523558795452118,2.1065540313720703,1.4045462608337402,0.527773916721344,-1.159889578819275,-0.9240337014198303,-0.0931539535522461,0.0931539535522461]",1,24,0
seed0_llm_weight_blocks,final,0,0,model.layers.11.mlp.down_proj.weight,11,69868,1676832,0.027878510945298685,block_rms,Leech Lattice Vector Quantization (gpu),0.0721742245713874,1.8961862040461284,0.0012122970074415207,0.00018401601118966937,"[0.6436619162559509,0.6567978858947754,1.5325284004211426,-0.3962680399417877,0.7180989980697632,0.5363849401473999,2.0754811763763428,0.9939541220664978,-0.17843008041381836,0.2550565004348755,0.1631048023700714,1.550042986869812,-0.009851967915892601,-0.7312349677085876,-1.5150136947631836,1.1559642553329468,0.12807558476924896,1.208508014678955,1.1296923160552979,1.4099260568618774,-1.4887418746948242,-0.7487495541572571,0.011767628602683544,0.5823607444763184]","[0.7071067690849304,0.0,1.4142135381698608,-0.7071067690849304,0.7071067690849304,0.7071067690849304,2.1213202476501465,0.7071067690849304,-0.7071067690849304,0.0,0.0,2.1213202476501465,0.0,-0.7071067690849304,-1.4142135381698608,0.7071067690849304,0.0,1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608,-0.7071067690849304,0.0,0.7071067690849304]",1,24,0
seed0_llm_weight_blocks,final,1,1,model.layers.12.mlp.down_proj.weight,12,8566,205584,0.018549016945905564,block_rms,QTIP bitshift (gpu),0.07937877638691722,1.827551355070082,0.008425876992987469,8.803597302176058e-05,"[-0.0707453042268753,0.8884294033050537,0.006889440584927797,-2.0006113052368164,0.016760878264904022,-0.16945967078208923,0.8028769493103027,-1.0858581066131592,-0.9937247037887573,-1.263543963432312,1.599172830581665,0.3422098457813263,-0.6383529901504517,0.18344421684741974,0.20812280476093292,-0.7041625380516052,2.18487811088562,0.3767598569393158,-0.8884294033050537,-0.33727410435676575,-0.5297671556472778,-0.4540861248970032,-2.18487811088562,-0.1801537424325943]","[0.1029927134513855,1.2617708444595337,0.32379430532455444,-1.8912291526794434,-0.1029927134513855,0.004895777907222509,0.49430081248283386,-1.2403559684753418,-1.3064303398132324,-1.5836154222488403,1.4591230154037476,0.632066011428833,-0.9091304540634155,0.034277018159627914,0.7181638479232788,-0.7055488228797913,1.4591230154037476,0.6083298325538635,-0.9391450881958008,-0.17219878733158112,-0.24224059283733368,-0.5504201054573059,-1.8912291526794434,-0.07350250333547592]",1,24,0
seed0_llm_weight_blocks,final,1,1,model.layers.12.mlp.down_proj.weight,12,8566,205584,0.018549016945905564,block_rms,Leech Lattice Vector Quantization (gpu),0.07109278786531369,1.907076411602428,0.0016659789835102856,0.0001606110017746687,"[-0.0707453042268753,0.8884294033050537,0.006889440584927797,-2.0006113052368164,0.016760878264904022,-0.16945967078208923,0.8028769493103027,-1.0858581066131592,-0.9937247037887573,-1.263543963432312,1.599172830581665,0.3422098457813263,-0.6383529901504517,0.18344421684741974,0.20812280476093292,-0.7041625380516052,2.18487811088562,0.3767598569393158,-0.8884294033050537,-0.33727410435676575,-0.5297671556472778,-0.4540861248970032,-2.18487811088562,-0.1801537424325943]","[-0.7071067690849304,0.7071067690849304,0.0,-1.4142135381698608,0.0,0.0,0.7071067690849304,-1.4142135381698608,-0.7071067690849304,-1.4142135381698608,1.4142135381698608,0.7071067690849304,-0.7071067690849304,0.0,0.0,-0.7071067690849304,2.1213202476501465,0.0,-0.7071067690849304,0.0,-0.7071067690849304,-0.7071067690849304,-2.1213202476501465,0.0]",1,24,0
seed0_llm_weight_blocks,final,1,1,model.layers.12.mlp.down_proj.weight,12,8566,205584,0.018549016945905564,block_rms,Uniform scalar 2-bit (gpu),0.12915197620808042,1.476429109955985,8.019999950192869e-05,4.418299067765474e-05,"[-0.0707453042268753,0.8884294033050537,0.006889440584927797,-2.0006113052368164,0.016760878264904022,-0.16945967078208923,0.8028769493103027,-1.0858581066131592,-0.9937247037887573,-1.263543963432312,1.599172830581665,0.3422098457813263,-0.6383529901504517,0.18344421684741974,0.20812280476093292,-0.7041625380516052,2.18487811088562,0.3767598569393158,-0.8884294033050537,-0.33727410435676575,-0.5297671556472778,-0.4540861248970032,-2.18487811088562,-0.1801537424325943]","[0.0,1.0,0.0,-2.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0]",1,24,0
seed0_llm_weight_blocks,final,2,2,model.layers.16.mlp.down_proj.weight,16,86703,2080872,0.025179925421322975,block_rms,Leech Lattice Vector Quantization (gpu),0.06995556676989609,1.9187086162002631,0.0011960370175074786,0.0001808399974834174,"[-1.1101740598678589,0.14604364335536957,-0.5623589158058167,-1.2265242338180542,-1.890689492225647,2.365785837173462,0.0890805646777153,0.40722543001174927,1.163501262664795,-0.4508567154407501,0.8580821752548218,-1.2992429733276367,0.8677780032157898,0.20724865794181824,-0.10968422889709473,0.5623589158058167,-0.31996282935142517,-0.5332713723182678,-0.6302298307418823,1.1441094875335693,0.6835569739341736,1.3089388608932495,1.37680983543396,-0.5526630878448486]","[-0.7071067690849304,0.0,-0.7071067690849304,-1.4142135381698608,-2.1213202476501465,2.1213202476501465,0.0,0.7071067690849304,0.7071067690849304,-0.7071067690849304,1.4142135381698608,-1.4142135381698608,0.7071067690849304,0.0,0.0,0.7071067690849304,0.0,-0.7071067690849304,-0.7071067690849304,1.4142135381698608,0.7071067690849304,1.4142135381698608,1.4142135381698608,0.0]",1,24,0
seed0_llm_weight_blocks,final,2,2,model.layers.16.mlp.down_proj.weight,16,86703,2080872,0.025179925421322975,block_rms,QTIP bitshift (gpu),0.14021740477932634,1.4171312825335367,0.008237953996285796,8.689399692229927e-05,"[-1.1101740598678589,0.14604364335536957,-0.5623589158058167,-1.2265242338180542,-1.890689492225647,2.365785837173462,0.0890805646777153,0.40722543001174927,1.163501262664795,-0.4508567154407501,0.8580821752548218,-1.2992429733276367,0.8677780032157898,0.20724865794181824,-0.10968422889709473,0.5623589158058167,-0.31996282935142517,-0.5332713723182678,-0.6302298307418823,1.1441094875335693,0.6835569739341736,1.3089388608932495,1.37680983543396,-0.5526630878448486]","[-0.9544740319252014,-0.2221222072839737,-0.4396974444389343,-1.3064303398132324,-1.550199031829834,1.8356715440750122,1.122338056564331,0.0931539535522461,1.0516313314437866,-0.024481236934661865,0.3863752782344818,-1.6189000606536865,1.0181772708892822,-0.0931539535522461,0.07350250333547592,0.9544740319252014,-0.18214523792266846,-0.2929880917072296,-0.7308942079544067,1.159889578819275,0.13257279992103577,1.6563239097595215,0.879913330078125,-0.3445020616054535]",1,24,0
seed0_llm_weight_blocks,final,2,2,model.layers.16.mlp.down_proj.weight,16,86703,2080872,0.025179925421322975,block_rms,Uniform scalar 2-bit (gpu),0.1644362021882715,1.3022000230514807,7.802600157447159e-05,4.484399687498808e-05,"[-1.1101740598678589,0.14604364335536957,-0.5623589158058167,-1.2265242338180542,-1.890689492225647,2.365785837173462,0.0890805646777153,0.40722543001174927,1.163501262664795,-0.4508567154407501,0.8580821752548218,-1.2992429733276367,0.8677780032157898,0.20724865794181824,-0.10968422889709473,0.5623589158058167,-0.31996282935142517,-0.5332713723182678,-0.6302298307418823,1.1441094875335693,0.6835569739341736,1.3089388608932495,1.37680983543396,-0.5526630878448486]","[-1.0,0.0,-1.0,-1.0,-2.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0]",1,24,0
seed0_llm_weight_blocks,final,3,3,model.layers.12.mlp.down_proj.weight,12,24723,593352,0.010517337129462357,block_rms,Leech Lattice Vector Quantization (gpu),0.06723000513138964,1.9473754268001728,0.0011871299939230084,0.00015932900714688003,"[-0.184254452586174,-0.37721383571624756,2.356135606765747,-0.818263828754425,0.28726285696029663,-0.49618127942085266,0.08342228829860687,0.4526565968990326,0.6470668315887451,-0.6586734056472778,-1.4798388481140137,0.19150856137275696,0.934329628944397,0.46136152744293213,-0.18860691785812378,-1.439215898513794,0.16321752965450287,-1.4624290466308594,0.426541805267334,-2.135610580444336,-1.4624290466308594,0.6267552971839905,-0.9575428366661072,0.6586734056472778]","[0.0,-0.7071067690849304,2.1213202476501465,-1.4142135381698608,0.0,-0.7071067690849304,0.0,0.7071067690849304,0.7071067690849304,-0.7071067690849304,-1.4142135381698608,0.7071067690849304,0.7071067690849304,0.0,0.0,-1.4142135381698608,0.0,-1.4142135381698608,0.0,-2.1213202476501465,-1.4142135381698608,0.7071067690849304,-0.7071067690849304,0.7071067690849304]",1,24,0
